"Sector","Tax category","1975 Current prices, millions of euro","1976 Current prices, millions of euro","1977 Current prices, millions of euro","1978 Current prices, millions of euro","1979 Current prices, millions of euro","1980 Current prices, millions of euro","1981 Current prices, millions of euro","1982 Current prices, millions of euro","1983 Current prices, millions of euro","1984 Current prices, millions of euro","1985 Current prices, millions of euro","1986 Current prices, millions of euro","1987 Current prices, millions of euro","1988 Current prices, millions of euro","1989 Current prices, millions of euro","1990 Current prices, millions of euro","1991 Current prices, millions of euro","1992 Current prices, millions of euro","1993 Current prices, millions of euro","1994 Current prices, millions of euro","1995 Current prices, millions of euro","1996 Current prices, millions of euro","1997 Current prices, millions of euro","1998 Current prices, millions of euro","1999 Current prices, millions of euro","2000 Current prices, millions of euro","2001 Current prices, millions of euro","2002 Current prices, millions of euro","2003 Current prices, millions of euro","2004 Current prices, millions of euro","2005 Current prices, millions of euro","2006 Current prices, millions of euro","2007 Current prices, millions of euro","2008 Current prices, millions of euro","2009 Current prices, millions of euro","2010 Current prices, millions of euro","2011 Current prices, millions of euro","2012 Current prices, millions of euro","2013 Current prices, millions of euro","2014 Current prices, millions of euro","2015 Current prices, millions of euro","2016 Current prices, millions of euro","2017 Current prices, millions of euro","2018 Current prices, millions of euro"
"S1311 Central government","512114 Price difference compensations",-31,-66,-84,-124,-217,-231,-276,-375,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512115 Excise duty on fertilizers",0,4,11,21,20,21,21,13,16,22,31,44,24,7,11,21,49,82,87,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512116 Marketing levy on agricultural products",0,0,13,2,10,12,17,7,28,38,26,26,6,3,2,58,109,141,91,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512117 Equalization fee on agricultural products",0,3,8,8,9,8,8,9,22,23,24,23,24,24,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512118 Levies for price reduction on butter",1,1,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512119 Excise on oil based concentrated feed",0,0,0,1,0,1,2,3,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512120 Milk quota levy",0,0,0,0,0,0,0,0,0,0,1,4,5,4,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512121 Excise duty on confectionery",8,14,19,20,22,23,27,29,19,18,18,19,23,25,26,26,26,23,25,25,26,26,28,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512122 Excise duty on beer",56,64,69,84,104,109,141,156,175,190,216,244,270,330,383,419,435,429,401,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512123 Excise duty on albumen",0,0,0,0,0,0,0,0,0,0,0,33,32,35,18,30,41,46,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512124 Excise duty on margarine",4,5,5,17,16,18,27,31,29,22,28,41,42,47,51,55,45,54,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512125 Excise on feeding stuffs",0,2,7,1,0,0,3,0,13,23,29,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512126 Excise duty on sugar",0,4,7,11,15,18,18,19,30,19,13,26,31,33,32,34,46,45,43,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512127 Excise duty on electricity",0,13,54,37,59,65,85,95,82,131,168,91,0,0,0,0,0,0,110,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5122 Profits of fiscal monopolies",44,59,45,71,81,86,91,109,110,117,114,124,141,198,242,202,239,253,190,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512201 Excess profits from spirits monopoly",44,59,45,71,81,86,91,109,110,117,114,124,141,198,242,202,239,253,190,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5123 Customs and import duties",131,113,124,108,116,135,159,173,167,148,135,147,170,248,251,244,217,204,206,246,45,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512301 Local import duties (town dues)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512302 Levies on agricultural goods",33,39,43,13,4,6,3,19,23,3,4,3,3,23,22,12,10,12,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512303 Customs duties",74,65,66,85,102,126,129,142,136,145,131,144,167,225,229,232,207,192,194,203,45,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512304 Import levies to Price Stabilisation Fund",24,9,15,10,10,3,27,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5126 Taxes on specific services",47,55,62,74,89,102,111,121,149,186,193,199,238,267,320,335,390,429,431,444,505,568,632,677,728,743,760,772,832,851,880,879,893,914,944,950,981,990,1172,1182,949,972,1064,1137
"S1311 Central government","512601 Tax on waste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,31,34,33,31,32,41,42,53,55,56,52,45,42,64,56,56,44,32,21,12,7
"S1311 Central government","512602 Tax on fire insurance",0,0,0,0,3,3,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,11,11,11,11,11
"S1311 Central government","512603 Nuclear energy research levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,5,7,7,7,5,8,7,11,12,12
"S1311 Central government","512604 Bank tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,138,-74,-43,-36,-4
"S1311 Central government","512605 Rail tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,15,18,18,21,17,18,18,16,19,18,6,6,5,2
"S1311 Central government","512606 EU Contributions to the Single Resolution Fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512607 Central government's share of Oy Veikkaus Ab's profit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,1109
"S1311 Central government","512608 Tax on motion pictures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512609 Central governments share of Oy Veikkaus Ab's and money-lotteries' profit",31,37,41,52,59,67,74,85,106,132,140,137,163,166,192,193,222,241,243,251,275,290,323,348,366,379,377,356,370,376,385,397,398,408,461,493,516,520,535,541,541,539,0,0
"S1311 Central government","512610 Revenue from RAY (The Finnish Slot Machine Association)",10,11,13,14,18,22,27,29,35,45,43,51,63,87,113,127,155,181,181,186,223,265,282,292,322,325,346,377,401,406,415,397,409,421,407,381,367,381,413,422,426,427,0,0
"S1311 Central government","512611 Stamp duty on entertainment",4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512612 Central governments share of the revenue on betting in horse races",2,2,3,3,4,5,7,3,4,4,5,6,7,8,9,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5127 Other taxes on international trade and transactions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512701 Tax on charter flights",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5128 Other taxes on specific goods and services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512801 Sugar levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","512802 ECSC fee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5200 Taxes on use of goods, or on permission to use goods or perform activities",17,38,29,36,37,42,53,57,71,87,93,103,115,101,133,152,158,150,161,262,304,359,381,406,427,435,476,496,523,692,586,623,664,698,712,756,825,822,927,1041,1051,1232,1297,1361
"S1311 Central government","5210 Recurrent taxes",17,38,29,36,37,42,53,57,71,87,93,103,115,101,133,152,158,150,161,262,304,359,369,392,412,418,456,472,494,663,557,589,630,662,679,716,784,782,890,901,952,1106,1191,1221
"S1311 Central government","521001 User charge on passenger vehicles",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,176,187,190,201,209,220,227,233,243,642,537,568,612,637,655,691,759,758,866,877,930,1083,1169,1194
"S1311 Central government","521002 Tax on motor vehicles",15,17,25,31,31,35,46,50,62,76,83,93,105,90,121,140,145,137,148,142,112,156,164,175,186,180,209,218,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5213 Other recurrent taxes",2,2,4,5,6,7,7,7,9,11,10,10,10,11,12,12,13,13,13,16,16,16,15,16,17,18,20,21,21,21,20,21,18,25,24,25,25,24,24,24,22,23,22,27
"S1311 Central government","521301 Hunting and fishing licenses (elk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,2,3,4,5,6,6,5,5,6,2,6,5,6,6,5,4,4,4,4,4,5
"S1311 Central government","521302 Hunting and fishing licenses (fishing fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,7,7,7,5,5,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,8,9,8,9
"S1311 Central government","521303 Hunting and fishing licenses (game management fee)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,9,9,9,9,9,10,10,10,10,10,12
"S1311 Central government","521304 Hunting and fishing licenses (Tana river)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"S1311 Central government","521305 Seamens welfare and rescue levy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"S1311 Central government","521306 Hunting and fishing licenses (ice fishing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0,0,0,0
"S1311 Central government","521307 Hunting and fishing licenses (island municipalities)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","521308 Hunting and fishing licenses (hunting and fishing licenses)",2,2,4,5,6,7,7,7,9,11,10,10,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","521309 Tax on dogs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","5220 Non-recurrent taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,17,20,24,29,29,29,34,34,36,33,40,41,40,37,140,99,126,106,140
"S1311 Central government","522001 Registration fee of vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,17,20,24,29,29,29,34,34,36,33,40,41,40,37,36,36,36,31,27
"S1311 Central government","522002 Income from auction of emission allowances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,63,90,75,113
"S1311 Central government","6000 Other taxes",10,15,20,23,31,20,32,33,35,40,43,42,42,48,48,50,51,70,68,87,90,94,55,52,34,30,58,65,57,56,68,58,69,73,69,69,73,75,64,76,81,99,61,44
"S1311 Central government","600001 Penalties for late payments of product taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,4,2,2,4,3,2,-1,1,5,3,1,3,1,2,4,2,3,3,2,2,2,3,5,1,0
"S1311 Central government","600002 Repayments (all)",0,0,0,0,0,0,0,0,0,0,0,0,-2,-3,-2,-3,-6,-4,-3,-2,-4,-2,-1,-1,-7,-2,-1,-3,-9,-11,-3,-1,0,-1,0,-1,0,0,0,0,-2,0,0,0
"S1311 Central government","600003 Other tax income",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,13,28,0,-3,-9,-9,-2,0,2,7,5,3,4,3,3,3,2,4,3,3,3,3,4,2
"S1311 Central government","600004 Penalties for late payments of other production taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"S1311 Central government","600005 Repayments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","600006 Penalties for late payments of direct taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2
"S1311 Central government","600007 Penalties for late payments of taxes",10,15,20,23,30,20,32,33,34,39,42,41,43,49,48,48,55,69,68,84,79,66,50,51,47,40,58,59,59,55,59,51,57,63,60,60,64,65,53,67,73,87,52,38
"S1311 Central government","600008 Plant-breeding levy",0,0,0,0,1,0,0,0,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","600009 Extra duty on certain textiles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1311 Central government","600010 Custom duties, levies on agricultural goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","Total",1550,1852,2106,2125,2387,2581,3167,3615,3983,4564,5101,5572,5844,6750,7429,8382,8071,7925,7899,9022,9761,10621,10805,11740,12177,13466,13788,13753,13516,13756,14307,15276,16456,17475,17576,18518,19149,19343,20710,21159,21849,21936,22767,22464
"S1313 Local government","1000 Taxes on income, profits and capital gains",1547,1849,2103,2122,2384,2578,3150,3580,3944,4519,5049,5510,5778,6682,7358,8302,7984,7829,7518,8575,9313,10181,10361,11274,11649,12890,13178,13113,12848,13065,13574,14482,15597,16557,16599,17346,17948,18070,19344,19645,20244,20264,20991,20650
"S1313 Local government","1100 Taxes on income, profits and capital gains of individuals",1393,1679,1933,1931,2171,2391,2887,3272,3582,4116,4646,5001,5353,6116,6726,7603,7256,7191,7415,8354,8319,8931,8690,9156,9546,9990,11129,11743,11851,11981,12420,13235,14056,15122,15415,15875,16301,16862,17888,18233,18576,18734,19102,18791
"S1313 Local government","110001 Duty on interests",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","110002 Income tax of households",1385,1670,1923,1919,2158,2376,2870,3253,3561,4092,4618,5001,5353,6116,6726,7603,7256,7191,7415,8354,8319,8931,8690,9156,9546,9990,11129,11743,11851,11981,12420,13235,14056,15122,15415,15875,16301,16862,17888,18233,18576,18734,19102,18791
"S1313 Local government","110003 Seamen's tax",5,5,6,7,7,8,9,11,12,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","110004 Tax on winnings from lottery or gambling",3,4,4,5,6,7,8,8,9,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","1200 Corporate taxes on income, profits and capital gains",154,170,170,191,213,187,263,308,362,403,403,509,425,566,632,699,728,638,103,221,994,1250,1671,2118,2103,2900,2049,1370,997,1084,1154,1247,1541,1435,1184,1471,1647,1208,1456,1412,1668,1530,1889,1859
"S1313 Local government","120001 Income tax of corporations",154,170,170,191,213,187,263,308,362,403,403,509,425,566,632,699,728,638,103,221,994,1250,1671,2118,2103,2900,2049,1370,997,1084,1154,1247,1541,1435,1184,1471,1647,1208,1456,1412,1668,1530,1889,1859
"S1313 Local government","120002 Church tax of corporations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","120003 Payment to equalize business fluctuations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","2000 Social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","2100 Social security contributions of employees and self-employed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","210001 Employees employment pension contribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","210002 Employees social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","2200 Employers social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","220001 Employers employment pension contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","220002 Employers social security contributions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","3000 Taxes on payroll and workforce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","300001 Taxes on payroll and workforce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","4000 Taxes on property",0,0,0,1,1,1,14,32,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S1313 Local government","4100 Recurrent taxes on immovable property",0,0,0,0,0,0,13,31,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S1313 Local government","410001 Tax on real-estate",0,0,0,0,0,0,13,31,36,42,49,59,63,64,67,76,83,91,376,440,441,434,438,460,522,570,605,634,661,684,725,785,855,914,974,1169,1199,1270,1363,1512,1603,1670,1774,1813
"S1313 Local government","4200 Recurrent taxes on net wealth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","4210 Recurrent taxes on net wealth of individuals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","421001 Wealth tax, individual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","4220 Recurrent taxes on net wealth of corporations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","422001 Wealth tax, corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","4300 Inheritance and gift tax",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","430001 Inheritance and gift tax",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","4400 Taxes on financial and capital transactions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","440001 Transfer tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","440002 Stamp duties",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","440003 Credit tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","5000 Taxes on goods and services",3,3,3,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,7,7,6,6,6,6,6,5,6,7,7,8,9,4,4,3,3,2,3,3,2,2,2,2,1
"S1313 Local government","5100 Taxes on production, sale, transfer, leasing and delivery of goods and rendering of services",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1
"S1313 Local government","5111 Value added taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","511101 Value added taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","5113 Turnover and other general taxes on goods and services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","511301 Tax on lottery prizes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","511302 Tax on insurance premiums",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","511303 Equalization tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","511304 Telecommunication tax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","5120 Taxes on specific goods and services",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"S1313 Local government","5121 Excises",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"S1313 Local government","512101 Excise duty on alcoholic beverages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","512102 Excise duty on energy products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","512103 Excise duty on motor cars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1313 Local government","512104 Excise duties on soft drinks (incl tax on sweets and ice cream 2011-2016)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
